,FBProphet,XGBoost,Arima_rsme_optimal,arima_AIC,Actual,LSTM,Date
1145,9004.980504158984,9191.759,9602.24116435919,9619.211022551635,9173.040039,10112.9697265625,2018-03-13
1146,8916.949772231847,9194.187,9189.743465277255,9188.643763660586,9214.650391,10713.681640625,2018-03-14
1147,8836.134393850227,8308.846,9255.991330697714,9230.319801700463,8290.759766,9854.6669921875,2018-03-15
1148,8754.53099842087,8322.774,8305.63469093998,8304.965512009663,8322.910156,10327.298828125,2018-03-16
1149,8699.655582992493,8323.472,8328.864345767317,8337.167025760029,8321.910156,9559.9375,2018-03-17
1150,8655.083398179737,7904.84,8354.331238928275,8336.165435830024,7890.52002,10803.521484375,2018-03-18
1151,8585.052042193114,8341.257,7904.877971459622,7904.0881155593315,8344.120117,9064.9541015625,2018-03-19
1152,8542.849730405735,8627.183,8343.996433250064,8358.41070588449,8619.669922,11716.0712890625,2018-03-20
1153,8476.751025996506,8938.719,8647.9742160339,8634.39802036057,8937.480469,11041.330078125,2018-03-21
1154,8421.342991518739,8930.803,8950.933950761411,8952.711933003498,8939.44043,10705.427734375,2018-03-22
1155,8367.975493021426,8723.038,8950.459850906973,8954.674994261532,8736.25,9699.431640625,2018-03-23
1156,8343.48533409626,8899.743,8770.914337946653,8751.162896511194,8901.950195,10046.8359375,2018-03-24
1157,8330.754530749968,8603.743,8904.723698797297,8917.125448887738,8612.80957,8437.33984375,2018-03-25
1158,8293.331547766787,8501.583,8637.62216997963,8627.526788030242,8498.469727,9858.6171875,2018-03-26
1159,8283.83698557173,8187.974,8523.820477336603,8513.005513113705,8200.0,9932.234375,2018-03-27
1160,8249.915555201413,7851.399,8208.052079945617,8214.061347866314,7836.830078,9959.9912109375,2018-03-28
1161,8225.576895488615,7968.571,7862.676669519216,7850.312461954011,7979.069824,8551.84375,2018-03-29
1162,8201.65861085293,7182.2227,7989.503601359589,7992.779190733475,7171.450195,9905.4765625,2018-03-30
1163,8204.560915032951,6897.343,7195.366104792975,7183.86675100095,6892.47998,9566.125,2018-03-31
1164,8216.81296764571,6995.6055,6908.243574669904,6904.447590350016,7003.060059,9919.58984375,2018-04-01
1165,8201.699573070382,6856.218,7003.166858961674,7015.205778706415,6844.859863,10019.0751953125,2018-04-02
1166,8211.669655038359,7105.076,6870.690892902289,6856.750709421686,7102.259766,8838.57421875,2018-04-03
1167,8194.288344994198,7414.6875,7106.601097414067,7114.565093000781,7456.410156,11919.8662109375,2018-04-04
1168,8183.575313277294,6850.4126,7458.638071180772,7469.284003697617,6848.649902,9347.9990234375,2018-04-05
1169,8170.4628672964545,6842.4883,6889.626203656289,6860.54685939,6815.959961,8304.6171875,2018-04-06
1170,8181.523413071737,6649.53,6809.934805734397,6827.804201907332,6630.509766,10920.8916015625,2018-04-07
1171,8199.52663603149,6910.543,6642.4314912671325,6642.054599453191,6919.97998,10019.53125,2018-04-08
